"DIM","funcId","ID","target","mean","median","sd","PAR-1","2%","5%","10%","25%","50%","75%","90%","95%","98%","ERT","runs","ps"
2,9,"CMA-ES-CSA",2e-04,423.133333333333,399,152.277363394232,423.133333333333,206,206,250,326,399,425,609,609,839,423.133333333333,30,1
2,1,"iAMALGAM",2e-04,109.2,108,27.7108219865888,109.2,62,62,76,90,108,114,159,159,161,109.2,30,1
2,10,"iAMALGAM",2e-04,302.733333333333,233,126.220642427111,302.733333333333,166,166,171,213,233,362,531,531,542,302.733333333333,30,1
2,11,"iAMALGAM",2e-04,288.8,252,103.80764705072,288.8,186,186,195,210,252,307,419,419,576,288.8,30,1
2,12,"iAMALGAM",2e-04,732.866666666667,314,1141.23193367377,732.866666666667,187,187,192,219,314,473,1876,1876,4630,732.866666666667,30,1
2,13,"iAMALGAM",2e-04,289.333333333333,250,92.6771680149128,289.333333333333,209,209,212,233,250,286,467,467,471,289.333333333333,30,1
2,14,"iAMALGAM",2e-04,177.333333333333,159,51.057326356877,177.333333333333,106,106,143,146,159,188,229,229,324,177.333333333333,30,1
2,15,"iAMALGAM",2e-04,5560.13333333333,4555,4666.16028911118,5560.13333333333,177,177,188,254,4555,5561,12152,12152,13766,5560.13333333333,30,1
2,16,"iAMALGAM",2e-04,3328.86666666667,277,4385.23297641884,3328.86666666667,164,164,176,205,277,4302,12964,12964,13470,3328.86666666667,30,1
2,17,"iAMALGAM",2e-04,3123.6,4062,3078.87072445906,3123.6,214,214,258,291,4062,4184,4227,4227,12113,3123.6,30,1
2,18,"iAMALGAM",2e-04,4057.06666666667,4269,2818.19828642507,4057.06666666667,277,277,307,4159,4269,4364,4503,4503,12558,4057.06666666667,30,1
2,19,"iAMALGAM",2e-04,11155.4,4443,14832.0389362655,11155.4,200,200,210,280,4443,12670,45725,45725,47018,11155.4,30,1
2,2,"iAMALGAM",2e-04,310.666666666667,329,84.0473320396817,310.666666666667,175,175,186,229,329,344,424,424,454,310.666666666667,30,1
2,20,"iAMALGAM",2e-04,9872.2,11730,9002.55325621762,9872.2,150,150,197,4038,11730,12276,26722,26722,31124,9872.2,30,1
2,21,"iAMALGAM",2e-04,2289,156,3376.38625425632,2289,74,74,86,100,156,3840,4907,4907,12665,2289,30,1
2,22,"iAMALGAM",2e-04,2039.33333333333,353,3721.70785169031,2039.33333333333,107,107,108,171,353,1132,4178,4178,14473,2039.33333333333,30,1
2,23,"iAMALGAM",2e-04,1540.06666666667,816,2023.10745846723,1540.06666666667,486,486,486,497,816,1074,6050,6050,7026,1540.06666666667,30,1
2,24,"iAMALGAM",2e-04,128499,155515,74589.4303282285,128499,33630,33630,50825,55240,155515,176791,187627,187627,303555,128499,30,1
2,3,"iAMALGAM",2e-04,7747.26666666667,4065,13010.4846604133,7747.26666666667,163,163,175,250,4065,4436,29142,29142,47367,7747.26666666667,30,1
2,4,"iAMALGAM",2e-04,29631.0666666667,13866,29180.7328840551,29631.0666666667,180,180,318,4377,13866,47197,58334,58334,102838,29631.0666666667,30,1
2,5,"iAMALGAM",2e-04,55.8571428571429,42,43.353597215622,66.0666666666667,24,24,28,29,42,67,80,197,197,70.7857142857143,28,0.933333333333333
2,6,"iAMALGAM",2e-04,323.533333333333,314,97.4175985422918,323.533333333333,204,204,223,231,314,356,470,470,534,323.533333333333,30,1
2,7,"iAMALGAM",2e-04,551.733333333333,116,1158.46095683271,551.733333333333,53,53,72,97,116,120,3423,3423,3487,551.733333333333,30,1
2,8,"iAMALGAM",2e-04,465.066666666667,400,201.42850761042,465.066666666667,212,212,251,303,400,552,781,781,914,465.066666666667,30,1
2,9,"iAMALGAM",2e-04,383.2,385,175.911498124522,383.2,139,139,167,242,385,451,618,618,752,383.2,30,1
