"DIM","funcId","ID","target","mean","median","sd","PAR-1","2%","5%","10%","25%","50%","75%","90%","95%","98%","ERT","runs","ps"
2,2,"BFGS",2e-04,109.6,109,22.7683991532123,109.6,76,76,79,94,109,115,142,142,154,109.6,15,1
2,20,"BFGS",2e-04,989.6,523,998.896305214625,989.6,94,94,142,184,523,1408,1954,1954,3670,989.6,15,1
2,21,"BFGS",2e-04,552.6,523,466.58696938513,552.6,43,43,70,199,523,673,1135,1135,1855,552.6,15,1
2,22,"BFGS",2e-04,283.2,148,357.98088536361,283.2,40,40,82,115,148,199,565,565,1459,283.2,15,1
2,23,"BFGS",2e-04,6376,6376,NA,10040.2666666667,6376,6376,6376,6376,6376,6376,6376,6376,6376,150604,1,0.0666666666666667
2,24,"BFGS",2e-04,NA,NA,NA,5628,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inf,0,0
2,3,"BFGS",2e-04,2006.2,1706.5,1595.62727477315,3210.46666666667,205,205,205,469,1531,2677,3544,5482,5482,4815.7,10,0.666666666666667
2,4,"BFGS",2e-04,2681.8,2665,1546.37524553389,3788.86666666667,529,529,529,679,2188,3439,4762,5029,5029,5683.3,10,0.666666666666667
2,5,"BFGS",2e-04,12.5384615384615,13,1.66410058867569,12.8666666666667,7,7,7,13,13,13,13,13,13,14.8461538461538,13,0.866666666666667
2,6,"BFGS",2e-04,150,151,37.7548483168529,150,97,97,97,115,151,178,202,202,208,150,15,1
2,7,"BFGS",2e-04,NA,NA,NA,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inf,0,0
2,8,"BFGS",2e-04,115,127,38.585711641191,115,52,52,58,79,127,142,163,163,166,115,15,1
2,9,"BFGS",2e-04,96.4,97,32.6514055702704,96.4,43,43,55,70,97,115,136,136,163,96.4,15,1
2,1,"G3PCX",2e-04,167.066666666667,163,23.2608397670133,167.066666666667,139,139,142,143,163,181,196,196,217,167.066666666667,15,1
2,10,"G3PCX",2e-04,2354.26666666667,2082,1187.4165514539,2354.26666666667,978,978,1169,1476,2082,2634,4304,4304,4709,2354.26666666667,15,1
2,11,"G3PCX",2e-04,2444.26666666667,1384,3358.04612549506,2444.26666666667,296,296,500,777,1384,2379,3442,3442,14067,2444.26666666667,15,1
2,12,"G3PCX",2e-04,3782.46666666667,2270,3385.8853424741,3782.46666666667,1081,1081,1305,1443,2270,5079,8671,8671,12753,3782.46666666667,15,1
2,13,"G3PCX",2e-04,4296.13333333333,1400,5479.94801678507,4296.13333333333,432,432,615,724,1400,5406,10596,10596,18861,4296.13333333333,15,1
2,14,"G3PCX",2e-04,367.866666666667,379,171.758496012223,367.866666666667,145,145,181,201,379,484,633,633,642,367.866666666667,15,1
2,15,"G3PCX",2e-04,22590.4666666667,7014,30917.1851215161,22590.4666666667,236,236,267,299,7014,21460,73524,73524,98252,22590.4666666667,15,1
2,16,"G3PCX",2e-04,1954.53333333333,1666,2005.34182574823,1954.53333333333,257,257,281,373,1666,2792,4399,4399,7045,1954.53333333333,15,1
2,17,"G3PCX",2e-04,1924.6,2049,1410.75844849499,1924.6,367,367,370,439,2049,2908,3997,3997,4137,1924.6,15,1
2,18,"G3PCX",2e-04,34947.7142857143,23165,32051.2000436504,69642.2666666667,1981,1981,1981,5009,23165,52146,65025,83765,83765,149233.428571429,7,0.466666666666667
2,19,"G3PCX",2e-04,10809,8480,10906.6535590502,10809,380,380,387,2650,8480,13348,23375,23375,40925,10809,15,1
2,2,"G3PCX",2e-04,2220.2,1915,1254.64054043949,2220.2,918,918,939,1260,1915,2204,3863,3863,5127,2220.2,15,1
