"DIM","funcId","ID","runtime","runs","mean","median","sd","2%","5%","10%","25%","50%","75%","90%","95%","98%"
2,23,"NELDERDOERR",4400,15,7.3261975076e-09,5.162529959e-09,9.66333030461431e-09,2.0090021734e-09,2.3929715095e-09,2.9344334958e-09,3.5616880555e-09,5.162529959e-09,6.5088308075e-09,7.5615011142e-09,1.79950873745e-08,3.22209029918e-08
2,24,"NELDERDOERR",4400,15,0.448088489956667,0.3716205471,0.440257481032805,0.074779222016,0.090835168265,0.12918207958,0.1907689882,0.3716205471,0.44784291365,0.85970408108,1.2615283749,1.57594163616
2,3,"NELDERDOERR",4400,15,2.20635361832667e-12,1.051603249e-12,2.44999794218079e-12,2.70006239612e-13,4.1922021413e-13,5.4853899202e-13,6.394884622e-13,1.051603249e-12,1.888933454e-12,6.3212546312e-12,6.7760463909e-12,7.34884153536e-12
2,4,"NELDERDOERR",4400,15,5.7003394595644e-10,4.689582056e-12,2.18334774831658e-09,5.57065504808e-13,7.9580786402e-13,1.05728759076e-12,1.925570814e-12,4.689582056e-12,1.149147444e-11,1.8277113154e-11,2.55186725077299e-09,6.09814886570919e-09
2,5,"NELDERDOERR",4400,15,0,0,0,0,0,0,0,0,0,0,0,0
2,6,"NELDERDOERR",4400,15,7.82236497807333e-12,3.893774192e-12,1.10070115012466e-11,9.16173803472e-13,1.09672271253e-12,1.3265832874e-12,2.2097879085e-12,3.893774192e-12,6.4623861815e-12,2.205524652e-11,3.1874947128e-11,3.57545104632e-11
2,7,"NELDERDOERR",4400,15,0.000341527035728135,6.34514663e-12,0.00132272849069236,2.12537543164e-12,3.6294522946e-12,4.9125148394e-12,5.776712442e-12,6.34514663e-12,1.250555215e-11,1.6581758188e-11,0.00153687164020648,0.00368849191048259
2,8,"NELDERDOERR",4400,15,5.9069786102e-12,4.38404868e-12,4.45887640042356e-12,1.95797156268e-12,2.1877610832e-12,2.411582045e-12,2.700062396e-12,4.38404868e-12,6.252776075e-12,1.400906058e-11,1.4388490401e-11,1.44183331944e-11
2,9,"NELDERDOERR",4400,15,2.7019571766e-12,2.245315045e-12,2.1421949684309e-12,3.97619714932e-13,5.6772364588e-13,8.1712414622e-13,1.2683187835e-12,2.245315045e-12,3.332445431e-12,5.8776095104e-12,6.8219208063e-12,7.26060989112e-12
2,1,"CMA-ES-CSA",4400,15,4.61664274184667e-09,2.847457381e-09,5.8444652953649e-09,3.9007190364e-10,4.7458819095e-10,7.1363714936e-10,1.674180794e-09,2.847457381e-09,4.7752770625e-09,7.8530876908e-09,1.30465049862e-08,1.962615767448e-08
2,10,"CMA-ES-CSA",4400,15,2.29335827367533e-08,3.407023996e-09,7.56052469772839e-08,1.80905885816e-10,2.9179574309e-10,6.13582074e-10,1.631320856e-09,3.407023996e-09,5.1640114405e-09,7.915610922e-09,9.53005052659997e-08,2.157750103064e-07
2,11,"CMA-ES-CSA",4400,15,1.53365472685333e-08,3.867326015e-09,4.68436703684286e-08,2.81297616324e-10,2.8339854906e-10,3.0519822222e-10,9.219558448e-10,3.867326015e-09,5.5901161475e-09,7.708304395e-09,6.10410090448998e-08,1.3506006637796e-07
2,12,"CMA-ES-CSA",4400,15,1.31393205135378e-05,4.039463875e-09,4.27160386295849e-05,5.42704334772e-10,5.5821027798e-10,1.11018554342e-09,2.008690103e-09,4.039463875e-09,8.9712912655e-09,1.9486676823688e-05,7.20982946119999e-05,0.0001275762150848
2,13,"CMA-ES-CSA",4400,15,5.39947582304e-09,5.63187541e-09,3.7064334198145e-09,3.44244881508e-10,4.6666599477e-10,5.7242175446e-10,2.711853804e-09,5.63187541e-09,7.801297386e-09,9.0327944234e-09,1.06209597565e-08,1.21766765926e-08
2,14,"CMA-ES-CSA",4400,15,7.74239528806667e-09,7.842146488e-09,2.93918870015893e-09,3.20793930072e-09,3.4017503478e-09,4.0647776696e-09,5.898296962e-09,7.842146488e-09,9.3264631575e-09,9.769098597e-09,1.13958208211e-08,1.347402531044e-08
2,15,"CMA-ES-CSA",4400,15,2.83657656108357e-06,1.988126996e-09,1.08736274171416e-05,2.281041133808e-11,4.83289852592e-11,2.18905427116e-10,1.195852306e-09,1.988126996e-09,5.2208948275e-09,2.284059064516e-07,1.290505093209e-05,3.0446537458836e-05
2,16,"CMA-ES-CSA",4400,15,1.6838810999197e-08,2.396802756e-09,5.32341466930876e-08,1.8095533959344e-11,4.413038823056e-11,2.41908537626e-10,5.758629129e-10,2.396802756e-09,6.9508425685e-09,8.4204089036e-09,6.87161104985998e-08,1.5284633947944e-07
2,17,"CMA-ES-CSA",4400,15,2.25565618065387e-06,4.646494745e-09,5.93229089460189e-06,2.64155261248e-09,2.7353813437e-09,2.8476520696e-09,3.396429804e-09,4.646494745e-09,7.456435469e-09,9.67754147581199e-06,1.6539121233e-05,1.71905299392e-05
2,18,"CMA-ES-CSA",4400,15,8.72456214492662e-06,3.449855512e-09,3.36862564167142e-05,7.15246528636e-10,8.2200912739e-10,9.880011475e-10,1.250384685e-09,3.449855512e-09,5.4677435915e-09,2.042752157768e-07,3.93833653926899e-05,9.40489795370758e-05
2,19,"CMA-ES-CSA",4400,15,0.00705766001333345,8.28310931e-09,0.0135717855636774,2.41408315524e-10,3.7910297121e-10,5.7888485114e-10,3.2755593795e-09,8.28310931e-09,0.0081457245833,0.02192801797,0.030191970326,0.0398234480924
2,2,"CMA-ES-CSA",4400,15,6.24147986664667e-09,3.166746865e-09,1.16524669385178e-08,2.39482460544e-10,2.7640396641e-10,3.1141382808e-10,5.8140514625e-10,3.166746865e-09,5.980140827e-09,8.185283207e-09,2.03921764823e-08,3.644255372492e-08
2,20,"CMA-ES-CSA",4400,15,0.145941463217541,2.582885159e-07,0.229831836407408,8.24372214992e-11,1.52013646133e-10,2.1044135326e-10,9.128271472e-10,2.582885159e-07,0.2824541526,0.47100228732,0.53988083844,0.621072412176
2,21,"CMA-ES-CSA",4400,15,4.13896278698313e-09,2.539763955e-10,1.30579032516695e-08,3.40719452656e-12,5.1500137489e-12,1.35798927652e-11,3.5339398075e-11,2.539763955e-10,1.526802684e-09,3.338170984e-09,1.78458009245999e-08,3.78335619158399e-08
2,22,"CMA-ES-CSA",4400,15,0.0310012461610234,4.457731961e-10,0.119851544629714,9.4021856964e-12,1.41263001285e-11,2.2869528492e-11,7.2624573025e-11,4.457731961e-10,1.9323529445e-09,0.00046819553590752,0.13981735918331,0.334469826773323
2,23,"CMA-ES-CSA",4400,15,0.133614081787457,4.960725164e-09,0.300190246521827,6.40120276776e-10,1.19576029074e-09,1.7010549414e-09,1.965485552e-09,4.960725164e-09,5.92744555885e-08,0.5384101531,0.75181444611,0.891293220804
2,24,"CMA-ES-CSA",4400,15,1.636815591404,2.004275376,0.799823511787274,0.1450151010832,0.276009104968,0.48509030288,1.0661709615,2.004275376,2.1583138215,2.4257631698,2.5301793758,2.59074773372
2,3,"CMA-ES-CSA",4400,15,0.0201632035393336,2.348897965e-09,0.0560479851336678,4.19629202508e-10,5.3475375237e-10,8.8148652822e-10,1.453749121e-09,2.348897965e-09,8.240828464e-09,0.0627812781372556,0.13258693607,0.171721723328
